name	id	col
未定义0	0	#FFFFFF
未定义1	1	#9645D5
未定义2	2	#4B4D39
未定义3	3	#E147A5
未定义4	4	#4275D4
未定义5	5	#3BA338
未定义6	6	#67D2FF
未定义7	7	#D6B1F3
未定义8	8	#DC97B6
未定义9	9	#C8E496
未定义10	10	#48903E
未定义11	11	#71E09E
未定义12	12	#2948C3
未定义13	13	#9E69B6
未定义14	14	#5B6F39
未定义15	15	#5EA39D
未定义16	16	#844F70
未定义17	17	#114911
未定义18	18	#D171AC
未定义19	19	#8CBD52
未定义20	20	#9C2D71
未定义21	21	#D2DD75
未定义22	22	#96CEE0
未定义23	23	#1F3B1F
未定义24	24	#4C649D
未定义25	25	#EEA6BA
未定义26	26	#235732
未定义27	27	#99C4C7
未定义28	28	#40CD85
未定义29	29	#0F2816
未定义30	30	#FD5C37
未定义31	31	#25796A
未定义32	32	#A763CE
未定义33	33	#C6DA42
未定义34	34	#7A6A21
未定义35	35	#6F407E
未定义36	36	#3D6A9D
未定义37	37	#7AB7CE
未定义38	38	#AC6E7F
未定义39	39	#E18B8B
未定义40	40	#7696E0
未定义41	41	#43234D
未定义42	42	#FC5741
未定义43	43	#B990C7
未定义44	44	#40130D
未定义45	45	#B089C5
未定义46	46	#D8AE4A
未定义47	47	#6FC36F
未定义48	48	#385987
未定义49	49	#BCF1E9
未定义50	50	#B32B19
未定义51	51	#2A4F27
未定义52	52	#393149
未定义53	53	#D66AF5
未定义54	54	#63DF59
未定义55	55	#74832D
未定义56	56	#60B1E0
未定义57	57	#4B1E4E
未定义58	58	#B5A5B6
